"UID_fes2","fes2_EE22_Q01A","fes2_EE22_Q01B","fes2_EE22_Q02A","fes2_EE22_Q02B","fes2_EE22_Q03_A_P","fes2_EE22_Q03_B_P","fes2_EE22_Q05_1","fes2_EE22_Q05_2","fes2_EE22_Q05_3","fes2_EE22_Q05_4","fes2_EE22_Q05_5","fes2_EE22_Q08_1","fes2_EE22_Q08_2","fes2_EE22_Q08_3","fes2_EE22_Q08_4","fes2_EE22_Q08_5","fes2_EE22_Q08_6","fes2_EE22_Q08_7","fes2_EE22_Q03_A_N","fes2_EE22_Q03_B_N","fes2_EE22_Q04","fes2_EE22_Q06","fes2_EE22_Q07","fes2_EE22_Q09","fes2_EE22_Q10G","fes2_EE22_Q10A","fes2_EE22_Q10J","fes2_EE22_Q10E","fes2_EE22_Q10B","fes2_EE22_Q10D","fes2_EE22_Q10H","fes2_EE22_Q10L","fes2_EE22_Q10K","fes2_EE22_Q10C","fes2_EE22_Q11A","fes2_EE22_Q11B","fes2_EE22_Q11C","fes2_EE22_Q11D","fes2_EE22_Q11E","fes2_EE22_Q11G","fes2_EE22_Q11H","fes2_EE22_Q11J","fes2_EE22_Q11L","fes2_EE22_Q11K","fes2_EE22_Q12","fes2_EE22_Q15","fes2_EE22_Q16","fes2_EE22_Q17","fes2_EE22_Q18_1","fes2_EE22_Q18_2","fes2_EE22_Q18_3","fes2_EE22_Q18_4","fes2_EE22_Q18_5","fes2_EE22_Q18_6","fes2_EE22_Q18_7","fes2_EE22_Q18_8","fes2_EE22_Q19","fes2_ccl_q01","fes2_FL_53_DO","cal_AGE","cal_DIPL","cal_SEXE","cal_TUU","cal_ZEAT","PDSPLT_INIT1","PDSPLT_INIT2","POIDS_INIT","cal_AGE1","cal_AGE2","cal_NAT","cal_DIPL2","POIDS_fes2","PDSPLT2_fes2","PDSPLT1_fes2","panel","eayy_a1","eayy_a2a_rec","eayy_a2a_rec2","eayy_a3_rec","eayy_a3b_rec","eayy_a3c_rec","eayy_a3d","eayy_a3e_rec","eayy_a4","eayy_a5","eayy_a5c_rec","eayy_b1","eayy_b1_rev","eayy_b1_sc","eayy_b1_sccjt","eayy_b10a","eayy_b10aa","eayy_b10acjt","eayy_b11","eayy_b11cjt","eayy_b18_rec","eayy_b18c","eayy_b18ccjt","eayy_b18cjt_rec","eayy_b1a","eayy_b1acjt","eayy_b1b","eayy_b1bcjt","eayy_b1cjt","eayy_b1cjt_rev","eayy_b2_11a_rec","eayy_b2_11acjt_rec","eayy_b2_rec","eayy_b25","eayy_b25_rec","eayy_b25cjt_rec","eayy_b2cjt_rec","eayy_b4_rec","eayy_b4cjt_rec","eayy_b5","eayy_b5_rec","eayy_b5a","eayy_b5a_rec","eayy_b5acjt","eayy_b5c","eayy_b5c_rec","eayy_b5ccjt","eayy_b5d_rec","eayy_b6a_12a_rec","eayy_b6a_rec","eayy_b6b_12b_rec","eayy_b6b_rec","eayy_b7b_rec","eayy_b8_rec","eayy_b8cjt_rec","eayy_c1_rec","eayy_c1jeu","eayy_c8","eayy_c8a_rec","eayy_c8b_rec","eayy_d1","eayy_d1_rec","eayy_d2","eayy_d2_rev","eayy_d3","eayy_d4_rec","eayy_d5_rec","eayy_d6","eayy_d7_1","eayy_d7_10","eayy_d7_2","eayy_d7_3","eayy_d7_4","eayy_d7_5","eayy_d7_6","eayy_d7_7","eayy_d7_8","eayy_d7_9","eayy_d7_rev_1","eayy_d7_rev_10","eayy_d7_rev_11","eayy_d7_rev_2","eayy_d7_rev_3","eayy_d7_rev_4","eayy_d7_rev_5","eayy_d7_rev_6","eayy_d7_rev_7","eayy_d7_rev_8","eayy_d7_rev_9","eayy_e1a_rec","eayy_e1b_rec","eayy_e1c_rec","eayy_e1d_rec","eayy_e1e_rec","eayy_e1f","eayy_e1f1_rec","eayy_e1f2_rec","eayy_e1g_rec","eayy_e1h_rec","eayy_e1i_rec","eayy_e1j_rec","eayy_e2a_rec","eayy_e2auc","eayy_e2auc_source","eayy_e3a","eayy_e3b","eayy_e3c","eayy_e3d","eayy_e3e","eayy_e4","eayy_e5","eayy_e6","eayy_f1_rec","eayy_f1_rev","eayy_f1a1","eayy_f3","eayy_f3_rev","eayy_f4","eayy_f6_rec","eayy_f6a","eayy_f7","eayy_f7_1","eayy_f7_10","eayy_f7_11","eayy_f7_12","eayy_f7_13","eayy_f7_14","eayy_f7_15","eayy_f7_2","eayy_f7_3","eayy_f7_4","eayy_f7_5","eayy_f7_6","eayy_f7_8","eayy_f7_9","eayy_f7bis_1","eayy_f7bis_10","eayy_f7bis_11","eayy_f7bis_12","eayy_f7bis_13","eayy_f7bis_14","eayy_f7bis_2","eayy_f7bis_3","eayy_f7bis_4","eayy_f7bis_5","eayy_f7bis_6","eayy_f7bis_7","eayy_f7bis_8","eayy_f7bis_9","eayy_f8","eayy_f9","eayy_g1","eayy_g1_1","eayy_g1_2","eayy_g10","eayy_g2","eayy_g3a","eayy_g3b","eayy_g3c","eayy_g3d","eayy_g4","eayy_g5","eayy_g6_1","eayy_g6_2","eayy_g6_3","eayy_g6_4","eayy_h_c11","eayy_h_teo1","eayy_h1a","eayy_h4","eayy_i1","eayy_i13a","eayy_i13b","eayy_i2","eayy_i8","eayy_j1","eayy_k3","eayy_pcs18","eayy_pcs6","eayy_pcs6cjt","eayy_typmen5","VAGUE"
917,14,6,10,6,6666,6666,4,2,5,4,4,2,3,2,3,4,2,3,7,7,3,2,2,9,0,0,0,0,8,0,6,0,0,0,3,6,10,2,10,11,8,3,11,4,2,1,4,4,2,1,2,1,1,1,1,1,2,8,2,4,1,1,1,2,0.435312295,0.103166573,0.059755308,4,4,1,4,0.032763531,0.106272194,0.188879749,1,1,10,11,1,1,6666,2,6666,4,1,7,1,1,6666,2,6666,6666,6666,6666,6666,11,5,5,11,6666,6666,1,1,1,1,4,4,5,2,2,1,5,6666,6666,1,1,1,1,1,6666,6666,6666,1,6,5,6666,6666,11,4,2,2,1,1,2,1,1,1,6666,6666,1,9,5,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,13,10,1,1,2,1,1,1,1,5,3,3,8,4,2,2,3,3,4,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,1,6666,6666,6666,6666,6666,6666,6666,1,7,1,2,1,4,3,1,1,2,1,1,1,2,2,2,1,1,1,1,1,2,4,5,2,7,2,2,36,3,3,3,2022
3,1,4,12,7,6666,6666,4,4,4,4,4,3,3,3,3,3,3,3,6,6,5,3,3,9,0,0,0,10,0,0,0,0,0,0,1,0,10,0,10,1,10,5,5,0,3,3,4,2,1,1,1,1,2,2,1,1,1,9,2,5,3,2,8,1,0.623414941,0.565529928,0.660611902,5,5,1,2,0.665513464,0.355631312,0.301338006,1,2,11,12,1,1,6666,2,6666,2,9999,6666,1,5,6666,6666,6666,6666,6666,1,6666,6,2,6666,6666,2,6666,2,6666,6,6666,2,6666,2,2,2,6666,2,6666,6666,6666,1,1,1,6666,6666,6666,6666,6666,6666,6666,7,4,6,6666,6666,2,1,1,2,1,5,3,6,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,7,3,1,2,2,2,2,2,2,2,3,3,8,4,2,2,3,2,1,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,2,8,3,3,2,6666,2,1,1,2,1,1,2,2,2,2,1,2,1,2,2,4,4,2,4,5,2,1,51,5,9999,3,2022
1040,4,6,4,6,6666,6666,1,1,4,2,1,4,3,3,4,3,4,4,10,10,1,4,1,10,7,0,0,6,0,0,0,0,0,10,0,4,9,0,7,7,4,0,11,0,4,1,4,1,1,1,2,2,2,2,1,1,1,9,2,5,3,1,1,8,1.88524561,0.337933325,0.236652389,5,5,1,2,0.196559559,0.254816915,0.981212269,1,1,12,13,1,1,6666,2,6666,7,3,6666,1,1,6666,6666,6666,6666,6666,6666,6666,7,2,6666,6666,6666,6666,1,6666,6666,6666,1,6666,9,6666,6666,6666,6666,2,6666,6666,6666,6666,1,6666,6666,6666,6666,6666,6666,6666,6666,6666,7,6666,6666,2,1,1,2,1,1,1,6666,6666,1,5,5,1,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,2,2,2,1,2,3,2,2,2,2,2,2,5,2,1,1,1,1,1,1,2,4,1,1,6,6,3,2,3,1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,5,4,6666,2,7,1,1,9999,6666,4,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,2,4,8,3,3,20,2,6666,5,2022
295,2,1,1,2,6666,6666,5,4,5,5,4,3,3,2,1,4,1,2,7,7,1,2,3,10,0,0,4,0,10,0,0,11,6,0,3,3,10,0,10,8,10,3,0,2,2,4,4,4,2,1,2,1,2,2,1,1,2,8,2,2,1,2,1,8,1.79769313486232e+308,0.43396298,0.332245132,2,2,1,4,0.328601226,0.72842273,1.79769313486232e+308,1,2,6,7,1,1,6666,2,6666,2,1,4,1,1,6666,2,6666,6666,6666,6666,6666,11,5,5,11,6666,6666,1,1,1,1,2,4,1,2,2,2,5,6666,6666,1,2,2,2,1,1,5,6666,2,6666,6666,9999,6,8,6666,1,3,2,2,6666,6666,2,2,6666,6666,1,6,2,1,2,2,1,2,2,2,2,2,1,2,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,1,2,2,2,2,2,13,10,1,1,1,2,9999,2,1,5,1,1,7,4,3,5,4,2,4,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,2,5,2,2,1,2,6,1,1,1,1,2,1,1,2,2,2,2,1,2,1,3,1,3,2,2,2,2,32,3,3,4,2022
71,8,16,10,1,6666,6666,4,4,5,4,4,2,3,3,3,3,2,1,12,12,2,2,2,10,0,0,6,0,0,0,0,0,4,0,4,4,10,3,9,10,10,4,1,4,3,1,1,4,2,2,2,2,1,2,2,1,2,6,2,6,4,2,6,5,1.607842241,0.451200574,0.459303699,6,6,1,2,0.588357356,0.324961571,1.428642615,1,2,14,14,1,1,6666,2,6666,5,3,6666,6,5,6666,6666,6666,6666,6666,1,6666,9,3,6666,6666,2,6666,2,6666,6666,6666,4,6666,4,6666,2,6666,6666,6666,6666,6666,6666,6666,2,6666,6666,5,6666,6666,1,6666,6666,2,1,3,6666,1,1,1,3,1,1,1,6666,6666,2,3,3,5,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,6666,7,3,1,1,2,2,1,2,6,3,1,5,6,3,5,3,2,5,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,4,6666,6666,6666,6666,6666,6666,2,7,1,2,4,6666,3,3,2,2,1,4,2,1,2,2,2,2,1,2,1,1,3,1,2,1,2,2,66,6,6666,1,2022
146,1,10,5,12,6666,6666,5,5,5,5,5,2,1,1,1,4,1,3,12,12,5,3,3,8,0,5,5,0,1,0,5,0,0,0,1,5,10,0,10,11,5,1,11,0,4,4,1,5,2,1,2,2,2,2,1,1,2,8,2,7,1,1,1,4,0.656200938,0.035604253,0.022208848,6,6,1,3,0.023507739,0.023326319,0.25718533,1,1,14,15,1,1,6666,2,6666,4,1,7,6,5,6666,2,6666,6666,6666,1,1,10,4,2,6,2,2,2,2,6,5,4,6,5,6666,1,2,5,6666,6666,6666,6666,6666,1,6666,6666,6666,6666,6666,6,5,6666,6666,7,3,6666,2,1,1,2,1,1,1,6666,6666,1,8,5,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,2,4,1,1,1,1,1,2,1,2,4,3,2,7,2,1,1,3,1,3,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,2,5,4,9999,1,6666,1,1,1,1,1,1,2,1,2,2,2,1,2,1,1,2,1,2,3,3,4,2,36,3,5,3,2022
998,5,12,14,12,6666,6666,4,4,4,5,5,2,3,3,3,3,3,4,12,12,4,3,3,10,0,0,0,0,7,0,0,0,0,0,0,5,10,0,10,7,8,11,11,2,2,4,4,5,1,1,2,1,1,1,1,1,2,6,2,6,4,1,1,5,2.771680735,0.943780162,0.883387557,6,6,1,2,0.896018333,0.68642176,1.852662979,1,1,13,14,1,1,6666,2,6666,4,1,7,6,5,6666,2,6666,6666,6666,1,1,1,1,1,1,2,2,2,2,6,5,4,2,4,6666,1,2,1,6666,6666,6666,6666,6666,1,6666,6666,6666,6666,6666,2,6666,6666,4,1,3,6666,2,1,1,2,1,1,1,6666,6666,1,5,5,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,9,5,2,1,1,1,2,2,2,4,3,1,8,6,2,2,3,1,5,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,1,6666,6666,6666,6666,6666,1,6666,6666,1,6666,6666,6666,6666,1,5,3,3,4,6666,1,2,2,1,2,1,2,2,2,1,2,2,1,2,2,3,1,2,3,3,2,2,61,6,4,3,2022
972,7,10,10,7,6666,6666,5,4,5,5,5,3,3,3,1,3,2,2,7,9,6,1,2,10,0,0,0,0,5,0,10,0,0,0,3,5,10,0,10,8,7,2,0,0,2,1,1,4,2,1,2,1,1,1,1,1,2,5,2,3,1,1,6,8,0.386819322,0.202282944,0.119881334,3,3,1,4,0.099819333,0.256929852,0.211340065,1,1,8,8,1,1,6666,2,6666,7,3,6666,1,1,6666,6666,6666,6666,6666,6666,6666,11,5,6666,6666,6666,6666,1,6666,6666,6666,4,6666,5,1,1,6666,6666,6666,6666,1,1,1,1,6666,6666,6666,6666,4,6,5,6666,6666,8,4,6666,4,4,1,3,4,1,1,6666,6666,1,9,3,2,1,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,12,9,1,1,1,1,1,1,1,6,1,1,9,6,3,5,4,1,4,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,2,9,2,2,4,2,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,3,4,1,1,7,2,3,36,3,6666,2,2022
1733,9,1,9,1,6666,6666,4,4,1,2,4,2,2,2,2,3,3,2,8,8,2,3,2,7,0,0,0,0,0,9,0,1,0,0,6,8,10,3,8,8,8,6,4,6,4,4,9999,4,1,1,1,1,1,1,1,1,3,5,2,2,1,1,8,1,1.32904517,0.164258249,1.163770487,1,2,1,3,1.309983355,0.223270438,12.75542256,1,1,5,9996,1,1,6666,2,6666,1,3,6666,5,9996,9996,9996,6666,6666,6666,6666,6666,10,4,6666,6666,2,6666,2,6666,6666,9996,9996,9996,6666,6666,9996,9996,6666,6666,6666,9996,6666,6666,9996,6666,6666,9996,9996,9996,9996,6666,9996,6666,6666,6666,6666,1,1,2,6666,6666,9996,3,5,9996,2,1,2,3,2,1,2,2,2,2,2,2,2,2,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,2,9996,9996,9996,9996,9996,9996,3,1,2,1,2,2,2,2,2,3,9996,8,9996,9996,8,9996,3,8,9996,2,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,9996,2,9996,1,9996,9996,9996,3,2,1,2,9996,5,2,1,2,2,2,9996,9996,2,2,1,9996,9996,2,88,2,4,6666,6666,6666,1,2019
609,16,1,7,12,4,4,1,1,5,5,5,3,3,3,3,2,2,3,6666,6666,1,2,1,10,0,0,0,0,0,10,0,0,0,0,6,9,10,0,10,10,10,6,4,6,4,4,1,4,1,1,2,1,1,2,1,1,1,8,1,6,3,1,0,2,1.871194211,0.596616604,0.871362994,5,5,1,2,0.618055526,0.463704925,1.055992642,1,1,13,14,1,1,6666,2,6666,4,1,7,6,5,6666,2,6666,6666,6666,1,1,6,2,1,4,2,2,2,2,6,5,4,4,5,6666,2,2,5,6666,6666,6666,6666,6666,1,6666,6666,6666,6666,6666,4,4,6666,6666,7,4,2,2,1,2,6666,6666,1,1,6666,6666,2,4,3,3,2,2,2,2,1,1,1,2,2,1,2,1,2,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,9,5,2,1,2,1,2,2,2,3,3,2,5,4,2,4,3,1,4,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,6666,6666,6666,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,2,4,1,1,3,6666,4,1,1,1,1,2,2,1,2,2,2,9999,1,2,1,2,2,4,2,2,4,2,46,4,5,3,2022
296,10,6,10,8,2,9999,5,5,5,4,5,3,3,3,1,3,1,3,6666,6666,4,3,2,3,0,10,0,0,2,2,0,0,0,0,2,7,10,5,10,0,9999,0,11,5,3,3,4,5,2,2,2,1,2,1,2,1,2,8,1,4,1,2,0,2,0.454330917,0.177813431,0.10435674,4,4,1,3,0.059273861,0.172702156,0.48648603,1,2,10,10,1,1,6666,2,6666,3,1,5,1,1,6666,2,6666,6666,6666,6666,6666,10,4,3,9,6666,6666,1,1,1,1,4,2,5,2,1,2,4,6666,6666,1,1,2,1,1,5,6666,6666,1,4,4,6666,6666,6,2,6666,4,3,1,2,3,1,1,6666,9996,1,9,4,1,2,1,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,10,3,1,1,1,1,2,1,2,4,3,3,9,3,2,3,3,1,4,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,6666,2,6,1,9996,9996,9996,1,2,1,1,9996,1,1,2,2,1,2,2,1,1,1,3,9996,9996,3,6,2,2,46,4,6,5,2022
